Nom,Prénom,Email,Numéro_Téléphone,Adresse,Date_de_naissance,Sexe,État_civil,Nationalité,Langues,Diplôme,Année_diplôme,Établissement,Expérience_professionnelle,Certifications,Compétences
ZQYXQ,VQMGW,AED51856@example.com,6469100000.0,BCE24B8C-5 Street,1969-01-21,Femme,Marié(e),Anglaise,"Français, Anglais",Licence,2005,École Supérieure de Commerce,J'ai analysé les comportements en ligne pour affiner le profil du marché cible.,Certification en marketing digital et stratégies de contenu.,Marketing
OIYBP,ONBTK,43C97324@example.com,655392400.0,C20F9358-C Street,1997-01-21,Homme,Célibataire,Française,"Français, Anglais",Licence,2003,Université Lyon,J'ai supervisé l'administration des projets d'optimisation des processus pour améliorer l'efficacité de l'entreprise.,Certification en gestion de projet Agile.,Gestion
FJPUH,CCNMF,C0AC63A8@example.com,6788996000.0,FADDC90F-6 Street,2005-01-21,Femme,Marié(e),Anglaise,"Français, Espagnol",BTS,2012,Université Lyon,Optimisation des vidéos pour la diffusion sur des plateformes comme TikTok et Snapchat dans une stratégie de marketing vidéo.,Certification en marketing digital et stratégies de contenu.,Marketing
PILIN,RMXNO,8AF3A91B@example.com,6415389000.0,3ADC4A6D-A Street,1991-01-21,Homme,Célibataire,Espagnole,"Français, Anglais",Licence,2002,Université Lyon,Mise en place d'une stratégie de contenu pour promouvoir des services innovants.,Certification en marketing digital et stratégies de contenu.,Marketing
YHIBH,AOAZB,F2951EA1@example.com,6119804000.0,1BCCA5A5-7 Street,1971-01-21,Femme,Célibataire,Française,"Français, Anglais",Licence,2007,École Supérieure de Commerce,J'ai facilité l'intégration continue avec le versionning Git pour automatiser le processus de déploiement.,Certification en développement web et programmation Python.,Développement
THJOS,VRASU,0828A123@example.com,6446796000.0,346BFCF4-E Street,1993-01-21,Homme,Marié(e),Française,"Anglais, Allemand",BTS,2017,Université Paris,Gestion des opérations pour l'amélioration des processus et l'optimisation des coûts de production.,Certification en gestion de projet Agile.,Gestion
ETFRN,ZTWKL,316F65E8@example.com,6400869000.0,A02277CC-C Street,1972-01-21,Femme,Divorcé(e),Française,"Anglais, Allemand",BTS,2019,Université Paris,Intégration des outils CRM avec les plateformes de marketing automation pour une gestion plus efficace des campagnes.,Certification en marketing digital et stratégies de contenu.,Marketing
BBYPH,IIVDS,430F0377@example.com,6894420000.0,4177F127-9 Street,2005-01-21,Homme,Marié(e),Française,"Français, Anglais",Licence,2012,Université Lyon,J'ai mené un projet d'envergure en appliquant des principes de leadership orientés vers l'innovation.,Certification en gestion de projet Agile.,Gestion
DPGAW,UUZCV,F29AC61D@example.com,6996246000.0,6521C03D-C Street,1991-01-21,Femme,Marié(e),Française,"Anglais, Allemand",Licence,2000,Université Paris,Développement d'un système de gestion de files d'attente en utilisant Spring Boot et RabbitMQ.,Certification en développement web et programmation Python.,Développement
AEKIE,NPRYM,822D194A@example.com,6836799000.0,838D6B21-8 Street,1992-01-21,Autre,Divorcé(e),Française,"Anglais, Allemand",Licence,2005,École Supérieure de Commerce,J'ai utilisé Reflection en C# pour analyser dynamiquement des objets.,Certification en développement web et programmation Python.,Développement
LSIAW,HYWFL,71691F76@example.com,6971184000.0,15CE5CE5-3 Street,1981-01-21,Homme,Divorcé(e),Française,"Français, Espagnol",Licence,2006,Université Lyon,Définition et suivi des objectifs de performance marketing sur HubSpot.,Certification en marketing digital et stratégies de contenu.,Marketing
VJJAZ,MFGNH,1AC62B58@example.com,6592515000.0,6DA0F09E-8 Street,1973-01-21,Autre,Célibataire,Française,"Français, Espagnol",Master,2020,Université Paris,J'ai mis en place un système de gestion de la relation client pour fidéliser les utilisateurs.,Certification en gestion de projet Agile.,Gestion
ZSTOI,YIFMG,90588D0E@example.com,6173071000.0,70C90BF4-C Street,1973-01-21,Homme,Célibataire,Anglaise,"Français, Anglais",Master,2003,Université Lyon,J'ai effectué une analyse de rentabilité en examinant les coûts fixes et variables d'une entreprise.,Certification en gestion de projet Agile.,Gestion
DPLBY,SNVCW,01E86291@example.com,6387007000.0,F4A3A78F-2 Street,1982-01-21,Femme,Divorcé(e),Anglaise,"Français, Anglais",BTS,2012,Université Paris,Élaboration de campagnes de publicité géolocalisée pour cibler des marchés locaux.,Certification en marketing digital et stratégies de contenu.,Marketing
TKZZG,TMQCR,D99440E8@example.com,6809707000.0,AF1C2614-D Street,1968-01-21,Homme,Divorcé(e),Espagnole,"Français, Espagnol",BTS,2005,École Supérieure de Commerce,Développement d'une stratégie de marque en intégrant des micro-influenceurs dans la campagne.,Certification en marketing digital et stratégies de contenu.,Marketing
SYFFA,HTBND,FE3ECD3C@example.com,666600400.0,27431D5C-9 Street,1974-01-21,Femme,Marié(e),Anglaise,"Anglais, Allemand",Licence,2006,Université Paris,Conception d’algorithmes de traitement de données en Python.,Certification en développement web et programmation Python.,Développement
FLFMP,POFYI,8290E3AF@example.com,6775511000.0,CC6A901C-8 Street,1981-01-21,Autre,Divorcé(e),Française,"Français, Espagnol",BTS,2019,École Supérieure de Commerce,Création de stratégies de publicité display multicanal pour toucher un public plus large.,Certification en marketing digital et stratégies de contenu.,Marketing
IZJGA,MMSCW,62249A76@example.com,6926540000.0,1F7F12F5-F Street,1983-01-21,Autre,Marié(e),Anglaise,"Français, Espagnol",BTS,2011,Université Lyon,J'ai coordonné la répartition des tâches pour assurer une collaboration efficace entre les différents services.,Certification en gestion de projet Agile.,Gestion
RJDEF,SBKLX,F3BE52B5@example.com,6102415000.0,A983CD7E-A Street,1996-01-21,Autre,Célibataire,Espagnole,"Français, Anglais",Licence,2017,Université Paris,Gestion des retours produits dans le respect des délais contractuels et des engagements clients.,Certification en gestion de projet Agile.,Gestion
BLXML,XLCFE,39D3E765@example.com,6593583000.0,EB235D4F-C Street,1986-01-21,Femme,Divorcé(e),Anglaise,"Français, Espagnol",Licence,2000,Université Paris,Optimisation des processus de traitement des transactions dans des bases de données NoSQL.,Certification en développement web et programmation Python.,Développement
THJIL,RFREZ,0AAA45D3@example.com,6202938000.0,3EE35AA7-3 Street,1993-01-21,Femme,Divorcé(e),Anglaise,"Français, Espagnol",Licence,2010,Université Lyon,Suivi des financements bancaires pour les projets d'infrastructure.,Certification en gestion de projet Agile.,Gestion
ZOMDC,KTTIG,FDA56706@example.com,6495471000.0,68783B28-4 Street,1998-01-21,Femme,Divorcé(e),Anglaise,"Français, Anglais",Master,2007,Université Paris,Création d'un moteur de recherche interne avec Spring Boot et Elasticsearch.,Certification en développement web et programmation Python.,Développement
FPRJH,MOFPL,B5502F8E@example.com,6653765000.0,39B78F25-0 Street,2003-01-21,Femme,Divorcé(e),Anglaise,"Anglais, Allemand",Master,2014,Université Lyon,Gestion de l'ensemble des ressources humaines pour favoriser un environnement de travail collaboratif.,Certification en gestion de projet Agile.,Gestion
QJPSI,LJDMX,4288F288@example.com,6322153000.0,3E52A86D-F Street,1997-01-21,Femme,Divorcé(e),Anglaise,"Français, Espagnol",Licence,2017,Université Paris,Création de threads pour l'automatisation des tâches répétitives dans les applications.,Certification en développement web et programmation Python.,Développement
TUULV,QEQER,3B53A1A5@example.com,6507237000.0,567BBFB7-E Street,1970-01-21,Homme,Divorcé(e),Anglaise,"Français, Espagnol",Licence,2016,Université Paris,Réalisation d'études de marché pour identifier de nouvelles opportunités de croissance.,Certification en marketing digital et stratégies de contenu.,Marketing
AIZZE,RAQPO,E12316C3@example.com,6551034000.0,38353629-3 Street,1974-01-21,Homme,Célibataire,Espagnole,"Français, Espagnol",Master,2014,Université Lyon,J'ai utilisé des outils d'e-mailing pour créer des rapports détaillés sur les performances.,Certification en marketing digital et stratégies de contenu.,Marketing
BQFJD,ZOHSE,5439E6DF@example.com,6622658000.0,43EF4016-4 Street,1992-01-21,Homme,Divorcé(e),Anglaise,"Français, Anglais",Licence,2003,Université Paris,Conception d'applications évolutives en utilisant Test-Driven Development (TDD) pour guider le développement de chaque fonctionnalité.,Certification en développement web et programmation Python.,Développement
TBXHT,BRRYM,6B910EB9@example.com,6367972000.0,7DFE1FBF-6 Street,1991-01-21,Homme,Divorcé(e),Anglaise,"Français, Espagnol",Master,2020,Université Paris,Je développe en utilisant des méthodologies agiles et des outils modernes.,Certification en développement web et programmation Python.,Développement
GQYTN,RTOYH,FFC2E64B@example.com,666493400.0,F2D6905E-0 Street,2002-01-21,Femme,Célibataire,Espagnole,"Français, Anglais",Master,2011,Université Lyon,Suivi des retours sur investissement des campagnes marketing avec HubSpot Analytics.,Certification en marketing digital et stratégies de contenu.,Marketing
FEGER,DYPCE,515EE860@example.com,6659472000.0,A9427FBB-4 Street,1968-01-21,Femme,Célibataire,Française,"Français, Anglais",BTS,2015,Université Lyon,Utilisation du Customer Journey pour évaluer les forces et faiblesses des campagnes marketing.,Certification en marketing digital et stratégies de contenu.,Marketing
LWTDY,KYBGW,BC536A0D@example.com,6956512000.0,CFD05FA7-8 Street,1995-01-21,Autre,Célibataire,Française,"Français, Espagnol",Licence,2014,Université Lyon,J'ai effectué des études de marché pour évaluer l'impact de nos actions sur la brand awareness.,Certification en marketing digital et stratégies de contenu.,Marketing
SALRT,VZLKO,29778365@example.com,6858709000.0,7470C2BE-A Street,1985-01-21,Homme,Marié(e),Française,"Français, Espagnol",Licence,2011,Université Lyon,J'ai géré les prévisions budgétaires en tenant compte des fluctuations saisonnières.,Certification en gestion de projet Agile.,Gestion
WZQIF,LIUKR,B2908BA1@example.com,6232881000.0,B33F5D71-8 Street,2001-01-21,Homme,Marié(e),Française,"Français, Espagnol",Master,2016,École Supérieure de Commerce,Développement de logiciels pour le suivi des achats et des paiements en ligne.,Certification en développement web et programmation Python.,Développement
GGHLY,KPMST,2630A6BF@example.com,6993189000.0,A6411B3E-1 Street,1999-01-21,Homme,Marié(e),Anglaise,"Anglais, Allemand",Licence,2017,Université Lyon,"En tant que Technical Lead, j'ai contribué à la conception d'architectures évolutives et fiables pour les systèmes complexes.",Certification en gestion de projet Agile.,Gestion
DMPQG,TQEWA,24F21935@example.com,6348655000.0,17A073F9-6 Street,1987-01-21,Autre,Divorcé(e),Anglaise,"Anglais, Allemand",BTS,2019,École Supérieure de Commerce,Conception de bases de données optimisées pour un stockage de données volumineuses tout en garantissant leur accessibilité rapide.,Certification en développement web et programmation Python.,Développement
HKGDC,WTELA,52EE81B9@example.com,6992567000.0,2F9A11D4-A Street,1969-01-21,Autre,Célibataire,Espagnole,"Français, Anglais",BTS,2009,Université Paris,Suivi et évaluation de la gestion du changement pour garantir la fluidité des opérations après la mise en place de nouvelles technologies.,Certification en gestion de projet Agile.,Gestion
UNQEH,NMPGB,ACE6B9B4@example.com,6988966000.0,1E6B61BB-9 Street,1998-01-21,Homme,Marié(e),Anglaise,"Français, Espagnol",Master,2016,Université Lyon,Développement d'outils de gestion des ressources informatiques en entreprise.,Certification en développement web et programmation Python.,Développement
JRFEB,ZGLSQ,57C5BA59@example.com,6471224000.0,3958BC61-9 Street,1978-01-21,Autre,Célibataire,Anglaise,"Français, Anglais",Master,2018,Université Lyon,Utilisation de NoSQL pour le stockage des données des réseaux sociaux et des utilisateurs.,Certification en développement web et programmation Python.,Développement
GXCNU,VWZRB,6C91451F@example.com,650051300.0,828A5674-E Street,1994-01-21,Homme,Célibataire,Espagnole,"Anglais, Allemand",Master,2012,Université Lyon,Gestion des relations avec les fournisseurs et partenaires pour garantir une production fluide dans la chaîne d'approvisionnement.,Certification en développement web et programmation Python.,Développement
KAAXP,EETNB,F5DFC5DE@example.com,6495432000.0,CCEB3563-4 Street,1981-01-21,Homme,Célibataire,Anglaise,"Français, Anglais",Master,2008,Université Lyon,Optimisation de l'expérience utilisateur en identifiant les points de friction dans le Customer Journey.,Certification en marketing digital et stratégies de contenu.,Marketing
BSGDB,OXETP,67EABA7E@example.com,6825066000.0,F64CCDBB-D Street,1980-01-21,Autre,Marié(e),Espagnole,"Français, Espagnol",BTS,2002,Université Lyon,Exploitation des données analytiques pour déterminer les points de friction dans le parcours utilisateur et appliquer des solutions de Growth Hacking.,Certification en marketing digital et stratégies de contenu.,Marketing
FLFNJ,OQZDE,65B00805@example.com,6240245000.0,70558E10-2 Street,1974-01-21,Homme,Célibataire,Espagnole,"Français, Anglais",Master,2008,Université Lyon,Mise en place des permissions et rôles dans JIRA.,Certification en développement web et programmation Python.,Développement
YJDWS,UUNDT,D45133D5@example.com,6361805000.0,A79BB0D1-5 Street,2000-01-21,Homme,Célibataire,Française,"Français, Anglais",BTS,2012,Université Paris,Développement d'applications de gestion de la relation client (CRM) avec Salesforce.,Certification en développement web et programmation Python.,Développement
MUWLG,NKAZY,DE364319@example.com,6363117000.0,81CC478A-0 Street,1974-01-21,Femme,Célibataire,Anglaise,"Français, Espagnol",BTS,2015,Université Paris,Créer des publicités inspirantes pour susciter l'émotion et l'engagement.,Certification en marketing digital et stratégies de contenu.,Marketing
PBNMA,NKKHO,E25BED97@example.com,6307928000.0,C25BB26D-A Street,1966-01-21,Femme,Marié(e),Française,"Français, Anglais",Master,2011,Université Lyon,J'ai mis en place un suivi des versions de l'application avec Git et optimisé les processus de développement.,Certification en développement web et programmation Python.,Développement
SVUOP,QJZMY,C26F5964@example.com,6972857000.0,D4E87141-4 Street,1994-01-21,Homme,Marié(e),Espagnole,"Français, Anglais",Licence,2017,École Supérieure de Commerce,Assurer une gestion proactive des contrats fournisseurs pour anticiper et résoudre les problèmes.,Certification en gestion de projet Agile.,Gestion
BEDGD,NLNBY,6BA4F3C8@example.com,6735325000.0,A548150A-3 Street,2003-01-21,Femme,Célibataire,Française,"Français, Espagnol",BTS,2007,Université Paris,Supervision des stratégies d'investissement et des portefeuilles bancaires.,Certification en gestion de projet Agile.,Gestion
GHUDM,XYGFP,57BD543F@example.com,6833726000.0,1D4301FF-5 Street,2000-01-21,Autre,Célibataire,Anglaise,"Anglais, Allemand",BTS,2012,Université Paris,Gestion de versions avec Compiler pour assurer la cohérence du code à travers différentes itérations.,Certification en développement web et programmation Python.,Développement
FHZSN,KOECA,DF0B3D99@example.com,6255640000.0,937A12AB-C Street,1970-01-21,Femme,Marié(e),Anglaise,"Français, Anglais",Licence,2013,Université Lyon,Gestion des affaires d'investissement et des décisions financières importantes.,Certification en gestion de projet Agile.,Gestion
GFRDS,EZOCI,3413E1EC@example.com,6583263000.0,598E57A0-5 Street,1977-01-21,Autre,Célibataire,Espagnole,"Français, Espagnol",BTS,2004,Université Paris,J'ai assuré la conformité réglementaire dans un environnement DevOps.,Certification en développement web et programmation Python.,Développement
BMLOD,DTORU,29204764@example.com,6632728000.0,ABD772EF-E Street,1990-01-21,Femme,Célibataire,Anglaise,"Français, Anglais",Licence,2012,Université Lyon,Conception et mise en œuvre de campagnes d'Affiliate Marketing pour augmenter la visibilité et les conversions sur les produits.,Certification en marketing digital et stratégies de contenu.,Marketing
ZUEPE,FUBCL,7E8F6603@example.com,6395489000.0,F2A04AD8-5 Street,1989-01-21,Femme,Marié(e),Anglaise,"Anglais, Allemand",BTS,2015,Université Paris,Développement de rapports Power BI interactifs permettant aux utilisateurs de filtrer et explorer les données en temps réel.,Certification en développement web et programmation Python.,Développement
EBWYL,IWFIJ,4610EA5A@example.com,6860987000.0,498B68B2-6 Street,1970-01-21,Femme,Célibataire,Anglaise,"Anglais, Allemand",BTS,2013,École Supérieure de Commerce,Création de procédures de débogage pour résoudre les problèmes liés à la gestion des sessions utilisateurs.,Certification en développement web et programmation Python.,Développement
GVPJR,JDUIQ,E76C16E2@example.com,6828250000.0,BA153E2E-3 Street,2002-01-21,Femme,Divorcé(e),Française,"Anglais, Allemand",Licence,2012,Université Paris,J'ai supervisé la gestion des coûts et l'optimisation des dépenses dans le cadre de la budgétisation.,Certification en gestion de projet Agile.,Gestion
NJNDF,DMUXT,4FCD02FC@example.com,6879087000.0,A45824B5-3 Street,1988-01-21,Homme,Célibataire,Française,"Anglais, Allemand",Licence,2010,Université Paris,Réalisation de solutions en C++ pour le traitement de données scientifiques dans le domaine de la physique.,Certification en développement web et programmation Python.,Développement
ILJTB,FKCEZ,AD4014C4@example.com,6540443000.0,2A06712B-B Street,1968-01-21,Autre,Divorcé(e),Anglaise,"Français, Espagnol",Master,2000,Université Lyon,Création de supports de communication pour soutenir la gestion du changement lors de la restructuration d'une entreprise.,Certification en gestion de projet Agile.,Gestion
RRSGC,QTJXX,3975BB4E@example.com,6975600000.0,2242A7F6-3 Street,1975-01-21,Autre,Célibataire,Française,"Français, Anglais",Master,2020,Université Lyon,Gestion des stocks et des approvisionnements pour les produits d’entreprise.,Certification en gestion de projet Agile.,Gestion
EZFSA,JSCRY,C4E1FFB2@example.com,64846160.0,07E49A1F-B Street,1976-01-21,Femme,Célibataire,Anglaise,"Français, Anglais",BTS,2016,Université Lyon,J'ai développé une interface de gestion des utilisateurs avec Django.,Certification en développement web et programmation Python.,Développement
IECDY,VAKAF,F8F6FE71@example.com,6251205000.0,F04D0E02-1 Street,2005-01-21,Femme,Célibataire,Anglaise,"Français, Anglais",Master,2002,Université Lyon,J'ai supervisé la gouvernance des projets de R&D pour garantir leur alignement avec la stratégie.,Certification en gestion de projet Agile.,Gestion
KMXDH,HFXRS,D0F7307B@example.com,659865300.0,8DCCD3BD-9 Street,1987-01-21,Femme,Divorcé(e),Anglaise,"Français, Anglais",Master,2004,Université Paris,J'ai supervisé la gestion du versionning des versions bêta et des déploiements de production avec Git.,Certification en développement web et programmation Python.,Développement
VORBK,NXSSB,E9686A5A@example.com,6487204000.0,291DC66A-9 Street,1973-01-21,Autre,Célibataire,Espagnole,"Français, Espagnol",BTS,2001,Université Paris,Production de contenu vidéo pour des publicités diffusées sur des plateformes comme YouTube et Vimeo.,Certification en marketing digital et stratégies de contenu.,Marketing
ATHCR,TIPOG,42B45009@example.com,6375489000.0,48EF8978-4 Street,1992-01-21,Autre,Célibataire,Française,"Français, Espagnol",Licence,2007,Université Paris,J'ai créé des partenariats stratégiques avec des influenceurs pour atteindre des objectifs à long terme.,Certification en marketing digital et stratégies de contenu.,Marketing
YMCTU,DRDHY,BFB3C547@example.com,693446000.0,DE725805-9 Street,1999-01-21,Femme,Marié(e),Française,"Anglais, Allemand",BTS,2007,Université Paris,Optimisation des flux de paiement en ligne pour garantir une expérience client optimale et augmenter les conversions.,Certification en marketing digital et stratégies de contenu.,Marketing
QKIWX,BVICY,28584695@example.com,6995149000.0,6FE0CEE8-4 Street,1990-01-21,Autre,Marié(e),Française,"Anglais, Allemand",Master,2001,Université Lyon,Implémentation de systèmes de gestion de flux de données avec Kafka pour des applications backend.,Certification en développement web et programmation Python.,Développement
LLGPY,IAACD,04712441@example.com,659432600.0,2B06E243-D Street,2000-01-21,Femme,Marié(e),Espagnole,"Français, Anglais",Master,2009,École Supérieure de Commerce,Développement d’applications de visualisation pour des données d’entreprise en utilisant Streamlit pour faciliter les décisions.,Certification en développement web et programmation Python.,Développement
EFUXZ,HFXGN,B7C51D56@example.com,6973929000.0,C1784FD4-3 Street,1985-01-21,Femme,Divorcé(e),Française,"Français, Anglais",Licence,2017,École Supérieure de Commerce,Développement d'interfaces utilisateurs pour interagir avec des bases NoSQL.,Certification en développement web et programmation Python.,Développement
MFJKZ,GQFDY,95BE858C@example.com,6233010000.0,D709DE5F-B Street,1984-01-21,Homme,Marié(e),Anglaise,"Anglais, Allemand",Licence,2004,Université Paris,Gestion des opérations pour optimiser la chaîne d'approvisionnement et assurer la disponibilité des produits en temps voulu.,Certification en gestion de projet Agile.,Gestion
RAYUH,ZLEUL,AEA19879@example.com,6399534000.0,42CEF7EA-8 Street,1974-01-21,Femme,Marié(e),Française,"Français, Anglais",Licence,2017,Université Paris,J'ai assuré la gestion des fournisseurs en mettant en place des pratiques de management de la chaîne d'approvisionnement.,Certification en gestion de projet Agile.,Gestion
NJDNX,QYFNN,F5FA3818@example.com,6136891000.0,2BE6F433-8 Street,1971-01-21,Homme,Divorcé(e),Française,"Français, Espagnol",BTS,2002,Université Paris,Déploiement de solutions logistiques innovantes pour améliorer le Supply Chain Management.,Certification en gestion de projet Agile.,Gestion
GUJJW,AKNOP,7EC0BD0A@example.com,6822719000.0,2062EDC1-8 Street,1966-01-21,Autre,Divorcé(e),Espagnole,"Anglais, Allemand",Master,2002,Université Lyon,Pilotage des opérations de transport et de logistique dans une approche Supply Chain Management.,Certification en gestion de projet Agile.,Gestion
GBBWU,HNVXQ,947A2AA7@example.com,6345571000.0,CEF824D6-8 Street,1995-01-21,Femme,Divorcé(e),Anglaise,"Anglais, Allemand",Licence,2007,Université Lyon,"Gestionnaire des relations clients, assurant une communication efficace et une satisfaction optimale.",Certification en gestion de projet Agile.,Gestion
TPZKJ,CMNIB,C9379107@example.com,6904632000.0,665B0DDF-A Street,1983-01-21,Femme,Marié(e),Anglaise,"Français, Anglais",Master,2009,Université Paris,Développement de solutions Power BI pour la gestion des coûts et des budgets au sein de l'entreprise.,Certification en développement web et programmation Python.,Développement
UFMKC,ZZMIH,5C40FFE6@example.com,6782465000.0,95F716E2-E Street,1971-01-21,Autre,Marié(e),Anglaise,"Français, Anglais",BTS,2010,Université Lyon,J'ai utilisé le versionning Git pour la gestion des branches de développement et de production.,Certification en développement web et programmation Python.,Développement
